,Tuple,Count,Start X,Start Y,End X,End Y
33810,"(40.74049, -74.00954, 40.74055, -74.00951)",934,40.74049,-74.00954,40.74055,-74.00951
33811,"(40.73938, -74.00809, 40.73938, -74.00809)",61,40.73938,-74.00809,40.73938,-74.00809
33812,"(40.78637, -73.97598, 40.78637, -73.97598)",96,40.78637,-73.97598,40.78637,-73.97598
33813,"(40.69584, -73.99946, 40.69584, -73.99942)",23,40.69584,-73.99946,40.69584,-73.99942
33814,"(40.7102, -74.00112, 40.7101, -74.00094)",2,40.7102,-74.00112,40.7101,-74.00094
33815,"(40.74273, -73.97247, 40.74279, -73.97244)",5,40.74273,-73.97247,40.74279,-73.97244
33816,"(40.71493, -74.00795, 40.71493, -74.00795)",99,40.71493,-74.00795,40.71493,-74.00795
33817,"(40.73504, -73.98997, 40.73498, -73.98997)",98,40.73504,-73.98997,40.73498,-73.98997
33818,"(40.76176, -73.99457, 40.76181, -73.99468)",9,40.76176,-73.99457,40.76181,-73.99468
33819,"(40.71877, -73.97494, 40.71875, -73.97497)",8,40.71877,-73.97494,40.71875,-73.97497
33820,"(40.74157, -73.94956, 40.74156, -73.94943)",2,40.74157,-73.94956,40.74156,-73.94943
33821,"(40.76416, -73.99858, 40.76399, -73.99869)",12,40.76416,-73.99858,40.76399,-73.99869
33822,"(40.74649, -73.98168, 40.74655, -73.98164)",149,40.74649,-73.98168,40.74655,-73.98164
33823,"(40.65015, -74.00507, 40.64958, -74.00566)",1,40.65015,-74.00507,40.64958,-74.00566
33824,"(40.70185, -73.9924, 40.70172, -73.99223)",38,40.70185,-73.9924,40.70172,-73.99223
33825,"(40.75473, -73.97567, 40.75527, -73.97528)",105,40.75473,-73.97567,40.75527,-73.97528
33826,"(40.71143, -73.97865, 40.71148, -73.97856)",114,40.71143,-73.97865,40.71148,-73.97856
33827,"(40.75907, -73.97846, 40.75884, -73.97791)",1,40.75907,-73.97846,40.75884,-73.97791
33828,"(40.7183, -74.00536, 40.71827, -74.00537)",70,40.7183,-74.00536,40.71827,-74.00537
33829,"(40.70627, -74.0112, 40.70581, -74.00987)",1,40.70627,-74.0112,40.70581,-74.00987
33830,"(40.69194, -74.00045, 40.69197, -74.00058)",23,40.69194,-74.00045,40.69197,-74.00058
33831,"(40.74217, -74.00454, 40.74214, -74.00462)",371,40.74217,-74.00454,40.74214,-74.00462
33832,"(40.76781, -73.98228, 40.76783, -73.9823)",15,40.76781,-73.98228,40.76783,-73.9823
33833,"(40.78316, -73.96742, 40.78318, -73.96745)",6,40.78316,-73.96742,40.78318,-73.96745
33834,"(40.7133, -73.96741, 40.71347, -73.96733)",246,40.7133,-73.96741,40.71347,-73.96733
33835,"(40.70927, -73.96084, 40.70918, -73.96084)",1,40.70927,-73.96084,40.70918,-73.96084
33836,"(40.71693, -74.00084, 40.71693, -74.00084)",56,40.71693,-74.00084,40.71693,-74.00084
33837,"(40.71662, -73.9498, 40.71663, -73.9498)",24,40.71662,-73.9498,40.71663,-73.9498
33838,"(40.7557, -73.9947, 40.7557, -73.99469)",22,40.7557,-73.9947,40.7557,-73.99469
33839,"(40.70117, -73.98771, 40.70118, -73.98771)",15,40.70117,-73.98771,40.70118,-73.98771
33840,"(40.77238, -73.96279, 40.77246, -73.96296)",11,40.77238,-73.96279,40.77246,-73.96296
33841,"(40.69843, -73.98286, 40.69845, -73.98305)",25,40.69843,-73.98286,40.69845,-73.98305
